FullName,LastName,FirstName,Council,Type
"Alunday, Fr. Oscar A. ","Alunday,",Fr. Oscar A. ,RCC,Clergy
"Lara, Mr. Karlo D.","Lara,",Mr. Karlo D.,RCC,Lay
"Realizan, Mr. Ramon C.","Realizan,",Mr. Ramon C.,RCC,Lay
"Dela Rosa, Elder Rufino D.","Dela Rosa,",Elder Rufino D.,PCEC,Lay
"Punzalan III, Bp. Cesar Vicente P.","Punzalan III,",Bp. Cesar Vicente P.,PCEC,Clergy
"Tarriela, Mrs. Florencia G. ","Tarriela,",Mrs. Florencia G. ,PCEC,Lay
"Angeles, Mr. Jon Dave A. ","Angeles,",Mr. Jon Dave A. ,NCCP,Lay
"Balaba, Rev. Irma M. ","Balaba,",Rev. Irma M. ,NCCP,Clergy
"Lazaro, Mrs. Lissa Belle B. ","Lazaro,",Mrs. Lissa Belle B. ,NCCP,Lay
"Mapangdol, Rev. Dr. Gloria Lita D. ","Mapangdol,",Rev. Dr. Gloria Lita D. ,NCCP,Clergy
"Victorino (Ret.), Justice Raoul V. ","Victorino (Ret.),",Justice Raoul V. ,NCCP,Lay
"Peralta, Mr. Jonathan Joseph M. ","Peralta,",Mr. Jonathan Joseph M. ,IND,Lay
"Ty, Mr. Lawrence Y. ","Ty,",Mr. Lawrence Y. ,IND,Lay
"Villanueva, Atty. Jose P. ","Villanueva,",Atty. Jose P. ,IND,Lay
